column_name,data_type,n_total,n_filled,fill_pct,n_distinct,val_min,val_max,val_mean,val_std
current_actual_upb,numeric,14130111,14130111,100.0,4645327,0.0,2212000.0,318777.2368,182164.9874
original_interest_rate,numeric,14130111,14130111,100.0,2292,2.25,9.125,6.7053,0.6327
original_upb,numeric,14130111,14130111,100.0,1291,7000.0,2212000.0,329389.7433,183164.2708
original_loan_term,integer,14130111,14130111,100.0,149,85.0,360.0,349.2572,40.9362
seller_name,character varying,14130111,14130111,100.0,30,,,,
occupancy_status,character varying,14130111,14130111,100.0,3,,,,
property_type,character varying,14130111,14130111,100.0,5,,,,
loan_purpose,character varying,14130111,14130111,100.0,3,,,,
first_time_home_buyer_indicator,character varying,14130111,14130111,100.0,3,,,,
original_combined_loan_to_value_ratio_cltv,integer,14130111,14130111,100.0,104,2.0,105.0,74.9637,19.8514
debttoincome_dti,integer,14130111,14129837,100.0,64,1.0,64.0,37.3667,9.2378
original_loan_to_value_ratio_ltv,integer,14130111,14130111,100.0,96,2.0,97.0,74.6393,19.6879
number_of_borrowers,integer,14130111,14130111,100.0,6,1.0,7.0,1.4658,0.5389
number_of_units,integer,14130111,14130111,100.0,4,1.0,4.0,1.0328,0.2368
property_state,character varying,14130111,14130111,100.0,54,,,,
current_loan_delinquency_status,character varying,14130111,14130111,100.0,21,,,,
zip_code_short,character varying,14130111,14130071,100.0,888,,,,
prepayment_penalty_indicator,character varying,14130111,14130111,100.0,1,,,,
metropolitan_statistical_area_msa,character varying,14130111,14130111,100.0,409,,,,
amortization_type,character varying,14130111,14130111,100.0,1,,,,
interest_only_loan_indicator,character varying,14130111,14130111,100.0,1,,,,
property_valuation_method,character varying,14130111,14130111,100.0,4,,,,
payment_deferral_modification_event_indicator,character varying,14130111,14130111,100.0,1,,,,
