group,n_features,n_masked,pr_auc,roc_auc,delta_pr,delta_roc
Full Model,19,0,0.13581033709387202,0.9229413308616534,0.0,0.0
– Nodes (V),12,7,0.11987689642083009,0.8675461668061171,-0.015933440673041935,-0.05539516405553635
– Arcs (F),14,5,0.09072369871479903,0.9027245331875863,-0.045086638379072994,-0.020216797674067144
– Buffers (B),16,3,0.11751138648074867,0.9169534337748599,-0.018298950613123352,-0.005987897086793481
– Disruptions (D),15,4,0.007300076059094788,0.7839302632351015,-0.12851026103477722,-0.1390110676265519
